Incoming Attempts,Normal Term Seizures,Answered Calls,Normal Not Answer Calls,Outgoing Seizures,FEV Seizures,Network Conversation Minutes,NER,ACD
55389,22859,15614,7245,32829,5199,92996.45,82.7325371,5.9559658
1216526,747151,376051,371100,1274957,450697,888175.1333,90.64506345,2.361847551
2923,81509,2245,79264,83570,1096,203.5,98.82993428,0.09064588
2836,2207,1970,237,2956,416,2840.766667,86.88976378,1.442013537
14095,10360,3760,6600,12245,935,1965.016667,91.60035367,0.522610816
80,14,5,9,21,4,18.733333,82.35294118,3.7466666
10038,7892,4601,3291,9447,59,25111.6,84.06476353,5.457856988
7500,3058,998,2060,3262,180,2488.016667,99.22128488,2.493002672
238271,180690,45850,134840,207345,13005,92681.03333,92.97622723,2.021396583
920,1095,918,177,1179,11,148.833333,93.75,0.162127814
5081,3647,1837,1810,3930,263,1389.4,99.45459504,0.756341862
628,583,499,84,598,14,863.25,99.82876712,1.72995992
12058,9865,2197,7668,10006,110,6721.45,99.68674212,3.059376422
832,697,276,421,787,90,587.983333,100,2.130374395
44605,40652,18687,21965,42865,2141,50128.65,99.82320008,2.682541339
254,295,281,14,296,1,70.333333,100,0.250296559
1,1,1,0,1,0,10,100,10
3120,3502,582,2920,3721,40,946.366667,95.13719098,1.626059565
13,7,6,1,7,0,3.066667,100,0.511111167
6635,5744,2015,3729,6891,248,5855.166667,86.4669577,2.905789909
16214,10663,6354,4309,11997,229,36789.8,90.61012916,5.790022033
2,2,2,0,2,0,0.533333,100,0.2666665
1502173,1436379,53434,1382945,1459869,14192,72222.35,99.35684112,1.351617884
8248218,7561336,907325,6654011,9204208,243406,1801582.4,84.38235774,1.985597663
1250,31310,3663,27647,36107,2870,295.666667,94.20224449,0.080717081
24121,7380,1198,6182,8158,363,1152.766667,94.67607441,0.962242627
583876,552734,151776,400958,626231,5662,609439.0833,89.06890289,4.015385063
20494,16320,7426,8894,20378,660,18501.15,82.76701491,2.491401831
23850,19250,9011,10239,23713,1663,29972.28333,87.3015873,3.326188362
57908097,55051983,18764231,36287752,62984342,940896,85985768.32,88.73134319,4.582429641
31764709,28491799,8830391,19661408,33165814,994214,46128937.23,88.56195837,5.223883884
10517,145346,38506,106840,162941,9106,1102.616667,94.48174993,0.028634931
1184037,1167801,363749,804052,1221644,6327,1102412.5,96.09023818,3.030695617
268,169,45,124,211,28,125.033333,92.34972678,2.778518511
2860,2117,1533,584,2320,47,6592.283333,93.13682358,4.300250054
13184,5845,3506,2339,6209,160,9157.45,96.62754174,2.61193668
127434,115829,60007,55822,122953,1546,284243.5,95.40553675,4.736839035
508,627,526,101,636,0,72.033333,98.58490566,0.1369455
6571,1706,1372,334,1745,35,915.7,99.76608187,0.667419825
41,37,18,19,37,0,190.733333,100,10.59629628
3063,1973,1259,714,2298,73,6466.866667,88.6741573,5.136510458
4448,1539,514,1025,1610,21,1441.083333,96.8533669,2.803664072
377311,326410,116303,210107,351756,6489,247810.5833,94.53842968,2.130732512
1408,1223,1144,79,1490,246,223.716667,98.31189711,0.195556527
7,3,1,2,12,3,0.116667,33.33333333,0.116667
3052,1913,1128,785,1954,19,610.8,98.8630491,0.541489362
224192,5,4,1,8,2,7.05,83.33333333,1.7625
8,8,5,3,8,0,6.6,100,1.32
6866089,1421866,689916,731950,3419222,1919628,197643.0833,94.8167304,0.286474126
2260506,1767573,973562,794011,2113774,244651,1424319.267,94.56697071,1.462998008
592282,147575,63011,84564,432567,275544,149968.7833,93.98304707,2.380041316
11422242,1291342,632852,658490,2913958,1527830,928830.25,93.16181478,1.467689523
1492192,1053683,695804,357879,1214057,101774,3559712.483,94.73155663,5.115970134
3357,14754,11641,3113,21985,6555,911.516667,95.61892417,0.078302265
12,3,3,0,6,3,5.016667,100,1.672222333
572,133,31,102,737,292,4.233333,29.88764045,0.136559129
88120,28076,15728,12348,35495,6965,29263.21667,98.4086926,1.860580917
1482,547,259,288,550,3,1297.133333,100,5.008236807
76311,32718,15717,17001,32812,77,56404.86667,99.94806782,3.588780726
178618,129797,48052,81745,131000,619,127211.8667,99.55208198,2.647379228
392,517,462,55,519,0,67.666667,99.61464355,0.146464647
483,181,105,76,220,38,151.6,99.45054945,1.443809524
472,245,105,140,252,2,132.683333,98,1.26365079
1386,559,267,292,601,28,590.5,97.55671902,2.211610487
26041,2318,1480,838,2567,38,1518.933333,91.65678134,1.026306306
141311,95580,42478,53102,102051,4528,39724.18333,98.00764948,0.935170755
509,49354,49332,22,49376,14,354.2,99.9837932,0.007179924
318503,234539,111860,122679,313763,79151,33611.83333,99.9688848,0.300481256
787,474,132,342,519,45,355.166667,100,2.690656568
6483,1863,1077,786,2148,283,3344.333333,99.89276139,3.105230578
21010,13603,9732,3871,16337,2730,34047.95,99.97060337,3.498556309
130759,96098,59100,36998,108673,12359,198987.5333,99.77573354,3.366963339
305,263,252,11,273,10,55.116667,100,0.218716933
14472,7088,2669,4419,8880,1788,2181.3,99.94359842,0.817272387
63,24,16,8,27,3,68.316667,100,4.269791688
2007,660,387,273,721,49,2057.016667,98.21428571,5.315288545
24952,5219,1553,3666,7726,1852,4802.166667,88.84916582,3.092187165
85957,35944,11076,24868,40150,3260,33273.03333,97.43561941,3.004065848
260,314,263,51,347,12,66.666667,93.73134328,0.253485426
1666,365,199,166,374,6,98.95,99.18478261,0.497236181
54,24,17,7,24,0,23.266667,100,1.368627471
5147,2484,1656,828,2604,59,6308.566667,97.60314342,3.809520934
145492,93730,49198,44532,127987,33607,206519.3,99.31129477,4.197717387
202400,154898,101015,53883,167439,5502,211690.7333,95.65324787,2.095636622
942,1251,1170,81,1338,84,183.65,99.76076555,0.156965812
8836,4642,3681,961,6715,2048,7535.283333,99.46432398,2.04707507
10,2,2,0,3,0,5,66.66666667,2.5
1667,1121,594,527,1192,24,2497.616667,95.9760274,4.204741864
207538,101193,46264,54929,116152,14265,126379.7667,99.31885324,2.7317086
701305,499044,246877,252167,547733,10312,1344769.617,92.85904347,5.447123939
783,3376,785,2591,3638,111,93.083333,95.71874114,0.118577494
48452,19455,15889,3566,20606,1109,5365.616667,99.78458224,0.337693792
5,5,4,1,5,0,2.183333,100,0.54583325
1140,1082,43,1039,1110,14,156,98.72262774,3.627906977
12868,11529,4974,6555,12760,235,16144.6,92.04790419,3.24579815
3,3,2,1,3,0,10.9,100,5.45
19731,6698,2719,3979,7918,24,15873.28333,84.8492526,5.837912223
321644,261405,81634,179771,287864,9166,184179.7833,93.79507567,2.256165119
793,1143,934,209,1212,10,52.816667,95.09151414,0.056548894
53479,6211,3431,2780,8069,1840,2394.733333,99.71102906,0.697969494
1065231,2,1,1,4,2,1.166667,100,1.166667
7,5,3,2,5,0,2.166667,100,0.722222333
27275,24528,23249,1279,25236,390,9461.383333,98.72011591,0.406958722
173710,135579,96846,38733,160178,15023,1139365.867,93.40291413,11.76471787
7,5,4,1,7,0,7.933333,71.42857143,1.98333325
6907424,3196142,505328,2690814,7501265,2978427,2080559.65,70.66673624,4.117245927
6620358,4292181,1198599,3093582,6880142,2077967,3214691.383,89.37993722,2.682040769
2174,91242,90117,1125,92034,577,749.666667,99.76491685,0.008318815
80,17,13,4,36,16,47.833333,85,3.679487154
84,32,7,25,86,27,9.366667,54.23728814,1.338095286
5760381,766725,250968,515757,854088,36147,146372.8,93.73842368,0.583232922
120,122,43,79,143,2,134.383333,86.5248227,3.125193791
1503,1316,482,834,1464,58,1838.783333,93.59886202,3.81490318
15819,17962,4198,13764,19039,105,17579.2,94.86637794,4.187517866
105653,99545,8317,91228,114726,2352,22385.66667,88.58365814,2.691555449
273,384,226,158,394,0,53.216667,97.46192893,0.235471978
28,23,10,13,23,0,124.85,100,12.485
5488,5661,1385,4276,6541,422,328.966667,92.51511685,0.237521059
321,271,29,242,351,0,56.516667,77.20797721,1.948850586
1042,595,416,179,733,11,904.166667,82.4099723,2.173477565
5843,1093,662,431,1094,0,2441.1,99.90859232,3.687462236
32692,26134,12879,13255,30087,238,34982.68333,87.55402191,2.716257732
14,56,47,9,56,0,0.25,100,0.005319149
1519,1147,382,765,1407,259,2219.5,99.91289199,5.810209424
12736,12377,12132,245,12419,6,2966.166667,99.70998147,0.244491153
19452,18424,14321,4103,18959,190,96193.73333,98.16186265,6.716970416
2657902,2267998,1442987,825011,2399530,12069,8098090.983,94.9962324,5.612033222
60742,55623,16054,39569,59406,267,58784.06667,94.05468473,3.661646111
2289414,1996150,1163331,832819,2167333,42561,5564961.533,93.9465505,4.783644151
4231,18840,4608,14232,21800,823,745.066667,89.81265195,0.161689815
6136,3476,1314,2162,4458,182,2733.633333,81.2909261,2.080390664
353,248,130,118,263,14,213.616667,99.59839357,1.643205131
5348,333,189,144,395,46,1519.666667,95.41547278,8.040564376
380748,329263,44891,284372,335947,6019,55819.08333,99.79844087,1.243435952
392698,393799,41718,352081,412965,7918,73309.61667,97.22303831,1.757265848
580,7191,6488,703,7298,96,92.066667,99.84726465,0.0141903
50885,20698,7389,13309,33672,8037,3369.066667,80.74117418,0.455957053
71,17,10,7,31,14,36.283333,100,3.6283333
457,72,39,33,74,2,109.683333,100,2.812393154
13099,458,78,380,522,59,132.483333,98.92008639,1.698504269
201386,162419,91751,70668,164747,1198,83568.35,99.30907557,0.910816776
335,550,296,254,611,49,49.45,97.86476868,0.167060811
5441,2537,1343,1194,3212,647,1077.233333,98.90838207,0.802109704
209,37,18,19,42,0,29.2,88.0952381,1.622222222
4709,1550,798,752,1837,67,3833.65,87.57062147,4.804072682
8,8,8,0,8,0,41.716667,100,5.214583375
94188,82415,21404,61011,83910,276,55609.8,98.54245881,2.598103158
411832,198264,63441,134823,199973,94,206018.2667,99.19201117,3.247399421
626,8155,7777,378,8167,1,2566.95,99.86529513,0.330069436
8359,5777,2571,3206,6522,572,3384.95,97.09243697,1.316588876
246,198,101,97,202,1,181.3,98.50746269,1.795049505
3715,2199,1137,1062,2296,32,6314.633333,97.12897527,5.553767223
256854,177586,59214,118372,181156,1588,99407.06667,98.89623986,1.678776415
251884,183690,42624,141066,194810,3490,117790.9333,96.01191721,2.763488488
448,1688,1173,515,1708,10,149.766667,99.41107185,0.127678318
26985,14288,6163,8125,16990,2590,6369.383333,99.22222222,1.033487479
108139,13,10,3,14,1,31.2,100,3.12
4695752,3127546,2116869,1010677,4267612,1057362,1144726.633,97.42375204,0.54076404
146,114,105,9,116,1,369.316667,99.13043478,3.51730159
1928908,1481407,1113427,367980,1868345,235106,3271314.183,90.70362635,2.938058969
89698270,47504361,29578964,17925397,71031212,14730109,86669724.77,84.37554234,2.930113603
1,1,1,0,1,0,2.366667,100,2.366667
60772962,34983613,23012755,11970858,50602032,9583888,90341214.65,85.28814224,3.92570184
47040,138114,125600,12514,150134,9611,11911.3,98.28568989,0.094835191
36,2,2,0,2,0,0.483333,100,0.2416665
36100,35188,4241,30947,36829,94,84326.2,95.78875732,19.8835652
452343,133521,15075,118446,402213,50460,22061.18333,37.95873809,1.463428413
142,124,79,45,127,3,75.133333,100,0.951054848
785,152,95,57,173,21,1044.516667,100,10.99491228
6731,3522,1887,1635,3756,193,2482.5,98.84928431,1.315580286
16850,5805,2464,3341,6378,541,7582.866667,99.45177317,3.077462121
255,257,235,22,258,1,62.133333,100,0.264397162
1672,615,328,287,823,207,428.833333,99.83766234,1.307418698
630,583,141,442,819,3,229.516667,71.44607843,1.62777778
1917,1530,1180,350,1688,9,4224.116667,91.12567004,3.579759887
16711,4140,2157,1983,4216,57,7859.583333,99.54315941,3.643756761
89422,87966,37240,50726,106255,201,76545.61667,82.94453769,2.055467687
56,61,57,4,63,2,0.933333,100,0.016374263
2591,1175,681,494,2477,425,563.883333,57.26120858,0.828022515
173,48,28,20,69,20,40.7,97.95918367,1.453571429
146,76,57,19,81,3,458.15,97.43589744,8.037719298
5475,234,169,65,235,0,199.55,99.57446809,1.180769231
102320,5379,2545,2834,6503,720,4500.983333,93.01400657,1.768559266
30,39,25,14,42,3,4.15,100,0.166
1849,1211,808,403,1439,227,396.716667,99.91749175,0.490985974
121,88,36,52,88,0,44.733333,100,1.242592583
1075,683,492,191,836,0,2165.4,81.69856459,4.401219512
92164,47482,21076,26406,63466,66,17760.53333,74.89274448,0.842689947
565223,472618,109444,363174,527701,2221,131568.95,89.94024511,1.202157724
15,14170,13616,554,14175,4,20.233333,99.99294333,0.001485997
5179,1480,757,723,2988,1508,893.483333,100,1.180295024
24,22,10,12,22,0,7.15,100,0.715
18858,17546,17343,203,17577,9,5118.233333,99.87477231,0.295118107
70020,46232,32896,13336,48866,2098,421679.9167,98.85391721,12.81857723
2,2,2,0,2,0,0.8,100,0.4
53296,35420,15702,19718,39176,2137,95550.98333,95.62893167,6.0852747
3760101,3441376,2067938,1373438,3508751,49165,2581843.167,99.47363644,1.248510916
2245,4523,4127,396,4567,26,479.15,99.60361154,0.116101284
274292,238295,93025,145270,249934,5175,228841.5667,97.35903481,2.460000717
1418148,695894,170156,525738,832295,14915,491778.1,85.13714551,2.890160206
25,17,11,6,18,1,12.366667,100,1.124242455
138377,27011,21648,5363,74509,824,13527.7,36.65739296,0.624893755
812417,456311,278644,177667,1075140,116145,4338287.117,47.58220846,15.56928237
28,19,15,4,30,7,253.216667,82.60869565,16.88111113
7159165,1931633,635586,1296047,2894844,164933,2749427.9,70.75809431,4.325815704
85870510,40309708,12269492,28040216,55451078,3702780,53055253.22,77.89571746,4.324160545
73651,117044,25739,91305,161283,17979,1153.65,81.6753196,0.044821089
102,87,72,15,89,0,237.833333,97.75280899,3.303240736
176,113,6,107,235,65,26.066667,66.47058824,4.3444445
1182382,30304,3854,26450,33935,875,16368.51667,91.66364186,4.247150147
17,11,7,4,11,0,4.433333,100,0.633333286
25461,25088,23343,1745,25223,125,4561.4,99.96015619,0.195407617
104597,95518,79171,16347,98804,3101,510349.4667,99.80669363,6.446166736
6,5,5,0,6,1,1.45,100,0.29
1147245,1089482,684723,404759,1115794,24985,3261867.917,99.87834717,4.763777347
2146777,1914656,1278572,636084,2058376,140817,2007395.433,99.84860961,1.570029246
3972,6156,5418,738,6212,29,399.733333,99.56331878,0.073778762
2236,1163,343,820,1294,107,976.2,97.97809604,2.84606414
37,7,7,0,10,3,4.5,100,0.642857143
395,60,28,32,102,31,253.7,84.50704225,9.060714286
7292,601,369,232,602,0,307.85,99.83388704,0.834281843
13980,8697,4514,4183,9613,468,2811.7,95.10114817,0.62288436
10,154,123,31,154,0,0.75,100,0.006097561
14610,11179,8316,2863,13357,2169,3261.483333,99.91955667,0.392193763
218,130,61,69,138,2,91.166667,95.58823529,1.494535525
1357,427,210,217,499,43,780.283333,93.64035088,3.715634919
235132,81228,57587,23641,90387,28,118116.15,89.89475315,2.051090524
235101,198751,56993,141758,205427,2378,45164.53333,97.88326956,0.792457553
414,802,567,235,1026,217,24.533333,99.13473424,0.043268665
35563,22585,6475,16110,29835,5850,3050.433333,94.16301855,0.471109395
1,1,1,0,1,0,0.8,100,0.8
26,13,8,5,14,0,101.883333,92.85714286,12.73541663
27789,51014,9231,41783,51909,0,3217.866667,98.27582885,0.348593507
36008,38008,5749,32259,38849,0,2019.016667,97.83520811,0.351194411
1,109,66,43,110,0,0.25,99.09090909,0.003787879
59,17,16,1,19,2,10.3,100,0.64375
125,71,66,5,75,4,124.266667,100,1.882828288
31473,26750,23756,2994,28638,1082,593807.5333,97.07504718,24.99610765
107845,32823,21703,11120,34952,938,59520.41667,96.49850062,2.742497197
308347,234119,139425,94694,263659,14653,334857.2667,94.0214292,2.401701751
1078,1436,1417,19,1445,9,410.516667,100,0.289708304
3027,1995,833,1162,2161,164,1243.966667,99.89984977,1.493357343
32123,11,5,6,11,0,1.15,100,0.23
866,794,416,378,845,13,469.783333,95.43269231,1.129286858
4275,2780,1595,1185,3040,82,10454.6,93.98242055,6.55460815
48361,26494,14312,12182,33368,1596,21778.68333,83.38788871,1.521707891
566261,426770,171767,255003,533005,65691,215866.0667,91.3240348,1.256737713
815,1562,1342,220,1636,18,83.766667,96.53893696,0.062419275
176122,121119,35817,85302,132455,5051,30588.43333,95.06687388,0.854019972
10,10,7,3,10,0,5.016667,100,0.716666714
15126,14951,13848,1103,15008,12,2619.933333,99.69991998,0.189192182
22269,16458,13354,3104,20093,979,21375.26667,86.10442608,1.600663971
1673088,1061230,521099,540131,1090823,24131,3081944.1,99.48794966,5.914315898
101037,73022,32930,40092,79248,3689,271828.2333,96.64235895,8.254729224
157225,93239,30745,62494,117097,9542,99834.21667,86.68960067,3.247169187
1661,5215,1216,3999,5684,178,172.166667,94.71485652,0.14158443
234,58,1,57,559,2,0.05,10.41292639,0.05
30327,23555,12036,11519,24838,226,161266.3167,95.70534699,13.39866373
6760,57,55,2,58,0,152.45,98.27586207,2.771818182
313,313,313,0,313,0,280.366667,100,0.89574015
135,18,18,0,18,0,25.733333,100,1.429629611
1225,814,417,397,822,3,2132.1,99.38949939,5.11294964
273,271,271,0,273,0,1020.783333,99.26739927,3.766728166
145923,52579,13600,38979,52976,252,45097.61667,99.72498293,3.316001226
2072324,1376729,525558,851171,1523738,17048,2222719.133,91.37440349,4.229255636
966,906,692,214,1362,15,62.116667,67.26057906,0.08976397
4499,1962,1709,253,1974,9,3522.3,99.84732824,2.061029842
9392,9300,9154,146,9356,3,2055.383333,99.4333369,0.224533901
6138,5245,3951,1294,5441,51,23520.83333,97.30983302,5.953134228
89005,77509,42098,35411,79313,293,147303.8167,98.08782587,3.499069235
40111,37245,10876,26369,39738,807,37497.71667,95.669261,3.447748866
414348,373418,126277,247141,392343,3804,327026.9333,96.10824139,2.589758494
991,1386,1048,338,1516,13,149.3,92.21556886,0.142461832
1809,842,515,327,1002,49,1796.333333,88.35257083,3.488025889
773,3,2,1,3,0,5.7,100,2.85
66839,66167,65838,329,66231,45,14753.33333,99.97129302,0.224085381
346429,354331,328604,25727,356140,1324,793395.65,99.86330943,2.414443068
51842,36480,13668,22812,41424,3147,42099.85,95.30527471,3.080176324
123711,98964,51439,47525,116502,8368,407926.1333,91.51978101,7.930288951
297167,257756,108241,149515,281633,21920,334251.0667,99.24647592,3.08802641
1639,3088,1608,1480,3577,236,355.833333,92.42741694,0.221289386
18,14,6,8,14,0,26.383333,100,4.397222167
142241,123086,56345,66741,136100,6117,291414.45,94.69392151,5.171966457
395,326,143,183,339,1,335.166667,96.44970414,2.343822846
2095,872,381,491,1017,26,2672.8,87.99192735,7.015223097
218422,62174,25399,36775,69407,859,29246.43333,90.70140631,1.151479717
845627,517481,159120,358361,639905,2305,240057.3833,81.1607591,1.508656255
506,2664,1710,954,2759,7,101.95,96.80232558,0.059619883
603598,548699,293510,255189,654980,40041,125051.0833,89.22819987,0.426053911
72879,71119,70555,564,71265,115,22086.8,99.95643008,0.313043725
385892,363491,353381,10110,365970,1625,615747.7833,99.76560677,1.74244734
2943731,1774792,842038,932754,1950171,143308,1240106.367,98.22504529,1.472743946
4313694,3273185,1688900,1584285,4027346,351964,3732823.333,89.05700142,2.210209801
3418,10526,3934,6592,16428,4969,297.166667,91.85792827,0.075538044
1578,1030,846,184,1652,315,381.65,77.0381451,0.451122931
379960,36089,20760,15329,42478,5315,21218.76667,97.11002879,1.022098587
96,6,1,5,6,0,0.1,100,0.1
5588,52,28,24,83,14,20.116667,75.36231884,0.718452393
8,7,3,4,8,1,3.95,100,1.316666667
46,14,2,12,14,0,3.266667,100,1.6333335
1025,188,66,122,195,7,294.116667,100,4.456313136
26017,1207,700,507,1254,40,1287.716667,99.42339374,1.839595239
270337,222265,45242,177023,229082,867,138597.0667,97.39280941,3.063460207
51,396,175,221,407,0,6.816667,97.2972973,0.038952383
1541,336,247,89,557,221,152.633333,100,0.617948717
116,47,11,36,66,6,23.483333,78.33333333,2.134848455
915,363,164,199,421,12,413.766667,88.75305623,2.522967482
50731,19450,6750,12700,19522,1,16871.51667,99.63628912,2.499483951
201750,104060,65156,38904,122900,13422,90553.18333,95.05106049,1.3897904
18,3862,510,3352,3867,0,6.033333,99.8707008,0.011830065
28331,2,2,0,2,0,14.916667,100,7.4583335
13839,13363,12489,874,13696,308,2813.016667,99.81326561,0.225239544
91,75,1,74,77,1,4.4,98.68421053,4.4
28914,18890,16589,2301,19709,707,10765.35,99.41058836,0.648945084
13341840,12469650,7575253,4894397,12586361,37805,52633731.62,99.37119458,6.948115346
1934923,1552153,747174,804979,1583596,26132,1838140.283,99.65899693,2.460123456
746,11978,11176,802,12028,5,376,99.62571738,0.033643522
3255,1909,989,920,2063,19,1529.316667,93.39530333,1.546326256
1375,4,2,2,5,0,17.25,80,8.625
126,12,7,5,12,0,41.866667,100,5.980952429
167,25,4,21,63,17,58.566667,54.34782609,14.64166675
4837,3485,2089,1396,5473,132,1068.116667,65.24995319,0.51130525
4,1,1,0,1,0,0,100,0
258,225,188,37,231,5,861.7,99.55752212,4.583510638
92505,71871,64868,7003,72281,252,106585.1167,99.78064391,1.643107798
409822,157684,50347,107337,160481,1914,119717.2833,99.4431376,2.377843433
853898,664609,251732,412877,681796,10597,556384.3,99.01817494,2.210224763
997,2736,2405,331,2801,34,161.883333,98.87965305,0.067311157
53274,40062,21530,18532,44222,3786,28051.66667,99.07508161,1.302910667
6094,2,2,0,2,0,6.966667,100,3.4833335
64,58,30,28,58,0,25.15,100,0.838333333
3072,1989,659,1330,2185,24,1785.983333,92.04072189,2.710141628
3,1,1,0,2,0,1.166667,50,1.166667
97759,57755,36369,21386,65456,599,204266.25,89.04975562,5.616493442
37,21,16,5,42,5,87.566667,56.75675676,5.472916688
845293,645427,215113,430314,737366,3864,1082025.1,87.99253444,5.030031193
